Year,ICD10_Code,ICD10_Description,Classification,Metric_Primary,Metric_Secondary,Metric_Tertiary,Metric_Quaternary,Value
2013/14,G62.1,Alcoholic polyneuropathy,Broad,Other,Wholly attributable,Male,35-44,30
2013/14,G72.1,Alcoholic myopathy,Broad,Other,Wholly attributable,Male,35-44,-
2013/14,I42.6,Alcoholic cardiomyopathy,Broad,Other,Wholly attributable,Male,35-44,100
2013/14,K29.2,Alcoholic gastritis,Broad,Other,Wholly attributable,Male,35-44,350
2013/14,K85.2,Alcohol-induced acute pancreatitis,Broad,Other,Wholly attributable,Male,35-44,880
2013/14,K86.0,Alcohol-induced chronic pancreatitis,Broad,Other,Wholly attributable,Male,35-44,850
2013/14,Q86.0,Fetal alcohol syndrome (dysmorphic),Broad,Other,Wholly attributable,Male,35-44,10
2013/14,R78.0,Excess alcohol blood levels,Broad,Other,Wholly attributable,Male,35-44,20
2013/14,X45,Accidental poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,Male,35-44,20
2013/14,X65,Intentional self-poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,Male,35-44,50
2013/14,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Broad,Other,Wholly attributable,Male,35-44,0
2013/14,Y90,Evidence of alcohol involvement determined by blood alcohol level,Broad,Other,Wholly attributable,Male,35-44,0
2013/14,Y91,Evidence of alcohol involvement determined by level of intoxication,Broad,Other,Wholly attributable,Male,35-44,120
2013/14,A15-A19,Tuberculosis,Broad,Infectious and parasitic diseases,Partly attributable chronic,Male,35-44,1290
2013/14,C00-C14,"Lip, oral cavity and pharynx",Broad,Cancer,Partly attributable chronic,Male,35-44,450
2013/14,C15,Oesophagus,Broad,Cancer,Partly attributable chronic,Male,35-44,300
2013/14,"C18-C20, C21",Colorectal,Broad,Cancer,Partly attributable chronic,Male,35-44,480
2013/14,C22,Liver and intrahepatic bile ducts,Broad,Cancer,Partly attributable chronic,Male,35-44,20
2013/14,C32,Larynx,Broad,Cancer,Partly attributable chronic,Male,35-44,40
2013/14,C50,Breast,Broad,Cancer,Partly attributable chronic,Male,35-44,-
2013/14,G40-G41,Epilepsy and Status epilepticus,Broad,Diseases of the nervous system,Partly attributable chronic,Male,35-44,3720
2013/14,I10-I15,Hypertensive diseases,Broad,Cardiovascular disease,Partly attributable chronic,Male,35-44,8540
2013/14,I47-I48,Cardiac arrhythmias,Broad,Cardiovascular disease,Partly attributable chronic,Male,35-44,740
2013/14,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Broad,Cardiovascular disease,Partly attributable chronic,Male,35-44,130
2013/14,"I63-I66, I69.3-I69.4",Ischaemic stroke,Broad,Cardiovascular disease,Partly attributable chronic,Male,35-44,10
2013/14,I85,Oesophageal varices,Broad,Cardiovascular disease,Partly attributable chronic,Male,35-44,290
2013/14,"J10-J11(.0), J12-J15, J18",Pneumonia,Broad,Respiratory infections,Partly attributable chronic,Male,35-44,430
2013/14,"K73, K74",Unspecified liver disease,Broad,Digestive disease,Partly attributable chronic,Male,35-44,480
2013/14,"K85, K86.1",Acute and chronic pancreatitis,Broad,Digestive disease,Partly attributable chronic,Male,35-44,980
2013/14,O03,Spontaneous abortion,Broad,Pregnancy and childbirth,Partly attributable chronic,Male,35-44,-
2013/14,P05-P07,Low birth weight,Broad,Pregnancy and childbirth,Partly attributable chronic,Male,35-44,-
2013/14,§,Road/Ped traffic accidents,Broad,Unintentional injuries,Partly attributable acute,Male,35-44,660
2013/14,X40–X49,Poisoning,Broad,Unintentional injuries,Partly attributable acute,Male,35-44,190
2013/14,W00-W19,Fall injuries,Broad,Unintentional injuries,Partly attributable acute,Male,35-44,1030
2013/14,X00-X09,Fire injuries,Broad,Unintentional injuries,Partly attributable acute,Male,35-44,20
2013/14,W65-W74,Drowning,Broad,Unintentional injuries,Partly attributable acute,Male,35-44,0
2013/14,§§,Other unintentional injuries,Broad,Intentional injuries,Partly attributable acute,Male,35-44,3780
2013/14,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Broad,Intentional injuries,Partly attributable acute,Male,35-44,690
2013/14,"Y10-Y34, Y87.2",Event of undetermined intent,Broad,Intentional injuries,Partly attributable acute,Male,35-44,30
2013/14,"X85-Y09, Y87.1",Assault,Broad,Intentional injuries,Partly attributable acute,Male,35-44,480
2013/14,F10.0,Acute intoxication,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,45-54,8370
2013/14,F10.1,Harmful use,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,45-54,10730
2013/14,F10.2,Dependence syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,45-54,10760
2013/14,F10.3,Withdrawal state,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,45-54,5510
2013/14,F10.4,Withdrawal state with delirium,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,45-54,240
2013/14,F10.5,Psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,45-54,70
2013/14,F10.6,Amnesic syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,45-54,220
2013/14,F10.7,Residual and late-onset psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,45-54,50
2013/14,F10.8,Other mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,45-54,0
2013/14,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,45-54,100
2013/14,K70.0,Alcoholic fatty liver,Broad,Alcoholic liver disease,Wholly attributable,Male,45-54,210
2013/14,K70.1,Alcoholic hepatitis,Broad,Alcoholic liver disease,Wholly attributable,Male,45-54,670
2013/14,K70.2,Alcoholic fibrosis and sclerosis of liver,Broad,Alcoholic liver disease,Wholly attributable,Male,45-54,30
2013/14,K70.3,Alcoholic cirrhosis of liver,Broad,Alcoholic liver disease,Wholly attributable,Male,45-54,4940
2013/14,K70.4,Alcoholic hepatic failure,Broad,Alcoholic liver disease,Wholly attributable,Male,45-54,930
2013/14,K70.9,"Alcoholic liver disease, unspecified",Broad,Alcoholic liver disease,Wholly attributable,Male,45-54,3610
2013/14,T51.0,Ethanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,Male,45-54,3210
2013/14,T51.1,Methanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,Male,45-54,10
2013/14,T51.9,"Toxic effect of alcohol, unspecified",Broad,Toxic effect of alcohol,Wholly attributable,Male,45-54,200
2013/14,E24.4,Alcohol-induced pseudo-Cushing’s syndrome,Broad,Other,Wholly attributable,Male,45-54,0
2013/14,G31.2,Degeneration of nervous system due to alcohol,Broad,Other,Wholly attributable,Male,45-54,130
2013/14,G62.1,Alcoholic polyneuropathy,Broad,Other,Wholly attributable,Male,45-54,60
2013/14,G72.1,Alcoholic myopathy,Broad,Other,Wholly attributable,Male,45-54,10
2013/14,I42.6,Alcoholic cardiomyopathy,Broad,Other,Wholly attributable,Male,45-54,290
2013/14,K29.2,Alcoholic gastritis,Broad,Other,Wholly attributable,Male,45-54,380
2013/14,K85.2,Alcohol-induced acute pancreatitis,Broad,Other,Wholly attributable,Male,45-54,870
2013/14,K86.0,Alcohol-induced chronic pancreatitis,Broad,Other,Wholly attributable,Male,45-54,1100
2013/14,Q86.0,Fetal alcohol syndrome (dysmorphic),Broad,Other,Wholly attributable,Male,45-54,-
2013/14,R78.0,Excess alcohol blood levels,Broad,Other,Wholly attributable,Male,45-54,30
2013/14,X45,Accidental poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,Male,45-54,10
2013/14,X65,Intentional self-poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,Male,45-54,40
2013/14,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Broad,Other,Wholly attributable,Male,45-54,0
2013/14,Y90,Evidence of alcohol involvement determined by blood alcohol level,Broad,Other,Wholly attributable,Male,45-54,10
2013/14,Y91,Evidence of alcohol involvement determined by level of intoxication,Broad,Other,Wholly attributable,Male,45-54,140
2013/14,A15-A19,Tuberculosis,Broad,Infectious and parasitic diseases,Partly attributable chronic,Male,45-54,5780
2013/14,C00-C14,"Lip, oral cavity and pharynx",Broad,Cancer,Partly attributable chronic,Male,45-54,2110
2013/14,C15,Oesophagus,Broad,Cancer,Partly attributable chronic,Male,45-54,1720
2013/14,"C18-C20, C21",Colorectal,Broad,Cancer,Partly attributable chronic,Male,45-54,1660
2013/14,C22,Liver and intrahepatic bile ducts,Broad,Cancer,Partly attributable chronic,Male,45-54,90
2013/14,C32,Larynx,Broad,Cancer,Partly attributable chronic,Male,45-54,200
2013/14,C50,Breast,Broad,Cancer,Partly attributable chronic,Male,45-54,-
2013/14,G40-G41,Epilepsy and Status epilepticus,Broad,Diseases of the nervous system,Partly attributable chronic,Male,45-54,5610
2013/14,I10-I15,Hypertensive diseases,Broad,Cardiovascular disease,Partly attributable chronic,Male,45-54,31750
2013/14,I47-I48,Cardiac arrhythmias,Broad,Cardiovascular disease,Partly attributable chronic,Male,45-54,2060
2013/14,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Broad,Cardiovascular disease,Partly attributable chronic,Male,45-54,220
2013/14,"I63-I66, I69.3-I69.4",Ischaemic stroke,Broad,Cardiovascular disease,Partly attributable chronic,Male,45-54,40
2013/14,I85,Oesophageal varices,Broad,Cardiovascular disease,Partly attributable chronic,Male,45-54,660
2013/14,"J10-J11(.0), J12-J15, J18",Pneumonia,Broad,Respiratory infections,Partly attributable chronic,Male,45-54,710
2013/14,"K73, K74",Unspecified liver disease,Broad,Digestive disease,Partly attributable chronic,Male,45-54,1430
2013/14,"K85, K86.1",Acute and chronic pancreatitis,Broad,Digestive disease,Partly attributable chronic,Male,45-54,1530
2013/14,O03,Spontaneous abortion,Broad,Pregnancy and childbirth,Partly attributable chronic,Male,45-54,-
2013/14,P05-P07,Low birth weight,Broad,Pregnancy and childbirth,Partly attributable chronic,Male,45-54,-
2013/14,§,Road/Ped traffic accidents,Broad,Unintentional injuries,Partly attributable acute,Male,45-54,760
2013/14,X40–X49,Poisoning,Broad,Unintentional injuries,Partly attributable acute,Male,45-54,150
2013/14,W00-W19,Fall injuries,Broad,Unintentional injuries,Partly attributable acute,Male,45-54,1270
2013/14,X00-X09,Fire injuries,Broad,Unintentional injuries,Partly attributable acute,Male,45-54,20
2013/14,W65-W74,Drowning,Broad,Unintentional injuries,Partly attributable acute,Male,45-54,0
2013/14,§§,Other unintentional injuries,Broad,Intentional injuries,Partly attributable acute,Male,45-54,4450
2013/14,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Broad,Intentional injuries,Partly attributable acute,Male,45-54,540
2013/14,"Y10-Y34, Y87.2",Event of undetermined intent,Broad,Intentional injuries,Partly attributable acute,Male,45-54,20
2013/14,"X85-Y09, Y87.1",Assault,Broad,Intentional injuries,Partly attributable acute,Male,45-54,300
2013/14,F10.0,Acute intoxication,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,55-64,5440
2013/14,F10.1,Harmful use,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,55-64,9960
2013/14,F10.2,Dependence syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,55-64,7980
2013/14,F10.3,Withdrawal state,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,55-64,3240
2013/14,F10.4,Withdrawal state with delirium,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,55-64,130
2013/14,F10.5,Psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,55-64,30
2013/14,F10.6,Amnesic syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,55-64,380
2013/14,F10.7,Residual and late-onset psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,55-64,110
2013/14,F10.8,Other mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,55-64,10
2013/14,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,55-64,50
2013/14,K70.0,Alcoholic fatty liver,Broad,Alcoholic liver disease,Wholly attributable,Male,55-64,210
2013/14,K70.1,Alcoholic hepatitis,Broad,Alcoholic liver disease,Wholly attributable,Male,55-64,460
2013/14,K70.2,Alcoholic fibrosis and sclerosis of liver,Broad,Alcoholic liver disease,Wholly attributable,Male,55-64,50
2013/14,K70.3,Alcoholic cirrhosis of liver,Broad,Alcoholic liver disease,Wholly attributable,Male,55-64,5540
2013/14,K70.4,Alcoholic hepatic failure,Broad,Alcoholic liver disease,Wholly attributable,Male,55-64,850
2013/14,K70.9,"Alcoholic liver disease, unspecified",Broad,Alcoholic liver disease,Wholly attributable,Male,55-64,3680
2013/14,T51.0,Ethanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,Male,55-64,1150
2013/14,T51.1,Methanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,Male,55-64,0
2013/14,T51.9,"Toxic effect of alcohol, unspecified",Broad,Toxic effect of alcohol,Wholly attributable,Male,55-64,80
2013/14,E24.4,Alcohol-induced pseudo-Cushing’s syndrome,Broad,Other,Wholly attributable,Male,55-64,-
2013/14,G31.2,Degeneration of nervous system due to alcohol,Broad,Other,Wholly attributable,Male,55-64,130
2013/14,G62.1,Alcoholic polyneuropathy,Broad,Other,Wholly attributable,Male,55-64,80
2013/14,G72.1,Alcoholic myopathy,Broad,Other,Wholly attributable,Male,55-64,10
2013/14,I42.6,Alcoholic cardiomyopathy,Broad,Other,Wholly attributable,Male,55-64,310
2013/14,K29.2,Alcoholic gastritis,Broad,Other,Wholly attributable,Male,55-64,190
2013/14,K85.2,Alcohol-induced acute pancreatitis,Broad,Other,Wholly attributable,Male,55-64,380
2013/14,K86.0,Alcohol-induced chronic pancreatitis,Broad,Other,Wholly attributable,Male,55-64,510
2013/14,Q86.0,Fetal alcohol syndrome (dysmorphic),Broad,Other,Wholly attributable,Male,55-64,-
2013/14,R78.0,Excess alcohol blood levels,Broad,Other,Wholly attributable,Male,55-64,20
2013/14,X45,Accidental poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,Male,55-64,10
2013/14,X65,Intentional self-poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,Male,55-64,20
2013/14,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Broad,Other,Wholly attributable,Male,55-64,0
2013/14,Y90,Evidence of alcohol involvement determined by blood alcohol level,Broad,Other,Wholly attributable,Male,55-64,10
2013/14,Y91,Evidence of alcohol involvement determined by level of intoxication,Broad,Other,Wholly attributable,Male,55-64,90
2013/14,A15-A19,Tuberculosis,Broad,Infectious and parasitic diseases,Partly attributable chronic,Male,55-64,12600
2013/14,C00-C14,"Lip, oral cavity and pharynx",Broad,Cancer,Partly attributable chronic,Male,55-64,3180
2013/14,C15,Oesophagus,Broad,Cancer,Partly attributable chronic,Male,55-64,4790
2013/14,"C18-C20, C21",Colorectal,Broad,Cancer,Partly attributable chronic,Male,55-64,3850
2013/14,C22,Liver and intrahepatic bile ducts,Broad,Cancer,Partly attributable chronic,Male,55-64,190
2013/14,C32,Larynx,Broad,Cancer,Partly attributable chronic,Male,55-64,580
2013/14,C50,Breast,Broad,Cancer,Partly attributable chronic,Male,55-64,-
2013/14,G40-G41,Epilepsy and Status epilepticus,Broad,Diseases of the nervous system,Partly attributable chronic,Male,55-64,5830
2013/14,I10-I15,Hypertensive diseases,Broad,Cardiovascular disease,Partly attributable chronic,Male,55-64,68520
2013/14,I47-I48,Cardiac arrhythmias,Broad,Cardiovascular disease,Partly attributable chronic,Male,55-64,4600
2013/14,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Broad,Cardiovascular disease,Partly attributable chronic,Male,55-64,260
2013/14,"I63-I66, I69.3-I69.4",Ischaemic stroke,Broad,Cardiovascular disease,Partly attributable chronic,Male,55-64,90
2013/14,I85,Oesophageal varices,Broad,Cardiovascular disease,Partly attributable chronic,Male,55-64,960
2013/14,"J10-J11(.0), J12-J15, J18",Pneumonia,Broad,Respiratory infections,Partly attributable chronic,Male,55-64,1020
2013/14,"K73, K74",Unspecified liver disease,Broad,Digestive disease,Partly attributable chronic,Male,55-64,2210
2013/14,"K85, K86.1",Acute and chronic pancreatitis,Broad,Digestive disease,Partly attributable chronic,Male,55-64,1450
2013/14,O03,Spontaneous abortion,Broad,Pregnancy and childbirth,Partly attributable chronic,Male,55-64,-
2013/14,P05-P07,Low birth weight,Broad,Pregnancy and childbirth,Partly attributable chronic,Male,55-64,-
2013/14,§,Road/Ped traffic accidents,Broad,Unintentional injuries,Partly attributable acute,Male,55-64,250
2013/14,X40–X49,Poisoning,Broad,Unintentional injuries,Partly attributable acute,Male,55-64,80
2013/14,W00-W19,Fall injuries,Broad,Unintentional injuries,Partly attributable acute,Male,55-64,1070
2013/14,X00-X09,Fire injuries,Broad,Unintentional injuries,Partly attributable acute,Male,55-64,10
2013/14,W65-W74,Drowning,Broad,Unintentional injuries,Partly attributable acute,Male,55-64,0
2013/14,§§,Other unintentional injuries,Broad,Intentional injuries,Partly attributable acute,Male,55-64,3530
2013/14,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Broad,Intentional injuries,Partly attributable acute,Male,55-64,190
2013/14,"Y10-Y34, Y87.2",Event of undetermined intent,Broad,Intentional injuries,Partly attributable acute,Male,55-64,10
2013/14,"X85-Y09, Y87.1",Assault,Broad,Intentional injuries,Partly attributable acute,Male,55-64,90
2013/14,F10.0,Acute intoxication,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,65-74,3250
2013/14,F10.1,Harmful use,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,65-74,8030
2013/14,F10.2,Dependence syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,65-74,5420
2013/14,F10.3,Withdrawal state,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,65-74,1460
2013/14,F10.4,Withdrawal state with delirium,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,65-74,80
2013/14,F10.5,Psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,65-74,10
2013/14,F10.6,Amnesic syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,65-74,370
2013/14,F10.7,Residual and late-onset psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,65-74,200
2013/14,F10.8,Other mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,65-74,10
2013/14,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,65-74,50
2013/14,K70.0,Alcoholic fatty liver,Broad,Alcoholic liver disease,Wholly attributable,Male,65-74,180
2013/14,K70.1,Alcoholic hepatitis,Broad,Alcoholic liver disease,Wholly attributable,Male,65-74,170
2013/14,K70.2,Alcoholic fibrosis and sclerosis of liver,Broad,Alcoholic liver disease,Wholly attributable,Male,65-74,40
2013/14,K70.3,Alcoholic cirrhosis of liver,Broad,Alcoholic liver disease,Wholly attributable,Male,65-74,3780
2013/14,K70.4,Alcoholic hepatic failure,Broad,Alcoholic liver disease,Wholly attributable,Male,65-74,410
2013/14,K70.9,"Alcoholic liver disease, unspecified",Broad,Alcoholic liver disease,Wholly attributable,Male,65-74,2330
2013/14,T51.0,Ethanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,Male,65-74,240
2013/14,T51.1,Methanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,Male,65-74,0
2013/14,T51.9,"Toxic effect of alcohol, unspecified",Broad,Toxic effect of alcohol,Wholly attributable,Male,65-74,20
2013/14,E24.4,Alcohol-induced pseudo-Cushing’s syndrome,Broad,Other,Wholly attributable,Male,65-74,0
2013/14,G31.2,Degeneration of nervous system due to alcohol,Broad,Other,Wholly attributable,Male,65-74,90
2013/14,G62.1,Alcoholic polyneuropathy,Broad,Other,Wholly attributable,Male,65-74,60
2013/14,G72.1,Alcoholic myopathy,Broad,Other,Wholly attributable,Male,65-74,20
2013/14,I42.6,Alcoholic cardiomyopathy,Broad,Other,Wholly attributable,Male,65-74,190
2013/14,K29.2,Alcoholic gastritis,Broad,Other,Wholly attributable,Male,65-74,90
2013/14,K85.2,Alcohol-induced acute pancreatitis,Broad,Other,Wholly attributable,Male,65-74,140
2013/14,K86.0,Alcohol-induced chronic pancreatitis,Broad,Other,Wholly attributable,Male,65-74,220
2013/14,Q86.0,Fetal alcohol syndrome (dysmorphic),Broad,Other,Wholly attributable,Male,65-74,-
2013/14,R78.0,Excess alcohol blood levels,Broad,Other,Wholly attributable,Male,65-74,20
2013/14,X45,Accidental poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,Male,65-74,10
2013/14,X65,Intentional self-poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,Male,65-74,0
2013/14,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Broad,Other,Wholly attributable,Male,65-74,0
2013/14,Y90,Evidence of alcohol involvement determined by blood alcohol level,Broad,Other,Wholly attributable,Male,65-74,10
2013/14,Y91,Evidence of alcohol involvement determined by level of intoxication,Broad,Other,Wholly attributable,Male,65-74,70
2013/14,A15-A19,Tuberculosis,Broad,Infectious and parasitic diseases,Partly attributable chronic,Male,65-74,13570
2013/14,C00-C14,"Lip, oral cavity and pharynx",Broad,Cancer,Partly attributable chronic,Male,65-74,2080
2013/14,C15,Oesophagus,Broad,Cancer,Partly attributable chronic,Male,65-74,6390
2013/14,"C18-C20, C21",Colorectal,Broad,Cancer,Partly attributable chronic,Male,65-74,4270
2013/14,C22,Liver and intrahepatic bile ducts,Broad,Cancer,Partly attributable chronic,Male,65-74,240
2013/14,C32,Larynx,Broad,Cancer,Partly attributable chronic,Male,65-74,580
2013/14,C50,Breast,Broad,Cancer,Partly attributable chronic,Male,65-74,-
2013/14,G40-G41,Epilepsy and Status epilepticus,Broad,Diseases of the nervous system,Partly attributable chronic,Male,65-74,5660
2013/14,I10-I15,Hypertensive diseases,Broad,Cardiovascular disease,Partly attributable chronic,Male,65-74,98040
2013/14,I47-I48,Cardiac arrhythmias,Broad,Cardiovascular disease,Partly attributable chronic,Male,65-74,8610
2013/14,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Broad,Cardiovascular disease,Partly attributable chronic,Male,65-74,320
2013/14,"I63-I66, I69.3-I69.4",Ischaemic stroke,Broad,Cardiovascular disease,Partly attributable chronic,Male,65-74,20
2013/14,I85,Oesophageal varices,Broad,Cardiovascular disease,Partly attributable chronic,Male,65-74,770
2013/14,"J10-J11(.0), J12-J15, J18",Pneumonia,Broad,Respiratory infections,Partly attributable chronic,Male,65-74,1600
2013/14,"K73, K74",Unspecified liver disease,Broad,Digestive disease,Partly attributable chronic,Male,65-74,2000
2013/14,"K85, K86.1",Acute and chronic pancreatitis,Broad,Digestive disease,Partly attributable chronic,Male,65-74,1130
2013/14,O03,Spontaneous abortion,Broad,Pregnancy and childbirth,Partly attributable chronic,Male,65-74,-
2013/14,P05-P07,Low birth weight,Broad,Pregnancy and childbirth,Partly attributable chronic,Male,65-74,-
2013/14,§,Road/Ped traffic accidents,Broad,Unintentional injuries,Partly attributable acute,Male,65-74,70
2013/14,X40–X49,Poisoning,Broad,Unintentional injuries,Partly attributable acute,Male,65-74,40
2013/14,W00-W19,Fall injuries,Broad,Unintentional injuries,Partly attributable acute,Male,65-74,910
2013/14,X00-X09,Fire injuries,Broad,Unintentional injuries,Partly attributable acute,Male,65-74,10
2013/14,W65-W74,Drowning,Broad,Unintentional injuries,Partly attributable acute,Male,65-74,0
2013/14,§§,Other unintentional injuries,Broad,Intentional injuries,Partly attributable acute,Male,65-74,2290
2013/14,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Broad,Intentional injuries,Partly attributable acute,Male,65-74,60
2013/14,"Y10-Y34, Y87.2",Event of undetermined intent,Broad,Intentional injuries,Partly attributable acute,Male,65-74,0
2013/14,"X85-Y09, Y87.1",Assault,Broad,Intentional injuries,Partly attributable acute,Male,65-74,20
2013/14,F10.0,Acute intoxication,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,75+,1730
2013/14,F10.1,Harmful use,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,75+,4170
2013/14,F10.2,Dependence syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,75+,2250
2013/14,F10.3,Withdrawal state,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,75+,440
2013/14,F10.4,Withdrawal state with delirium,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,75+,50
2013/14,F10.5,Psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,75+,10
2013/14,F10.6,Amnesic syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,75+,150
2013/14,F10.7,Residual and late-onset psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,75+,170
2013/14,F10.8,Other mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,75+,0
2013/14,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,Male,75+,40
2013/14,K70.0,Alcoholic fatty liver,Broad,Alcoholic liver disease,Wholly attributable,Male,75+,50
2013/14,K70.1,Alcoholic hepatitis,Broad,Alcoholic liver disease,Wholly attributable,Male,75+,40
2013/14,K70.2,Alcoholic fibrosis and sclerosis of liver,Broad,Alcoholic liver disease,Wholly attributable,Male,75+,0
2013/14,K70.3,Alcoholic cirrhosis of liver,Broad,Alcoholic liver disease,Wholly attributable,Male,75+,1150
2013/14,K70.4,Alcoholic hepatic failure,Broad,Alcoholic liver disease,Wholly attributable,Male,75+,130
2013/14,K70.9,"Alcoholic liver disease, unspecified",Broad,Alcoholic liver disease,Wholly attributable,Male,75+,740
2013/14,T51.0,Ethanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,Male,75+,120
2013/14,T51.1,Methanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,Male,75+,-
2013/14,T51.9,"Toxic effect of alcohol, unspecified",Broad,Toxic effect of alcohol,Wholly attributable,Male,75+,10
2013/14,E24.4,Alcohol-induced pseudo-Cushing’s syndrome,Broad,Other,Wholly attributable,Male,75+,0
2013/14,G31.2,Degeneration of nervous system due to alcohol,Broad,Other,Wholly attributable,Male,75+,40
2013/14,G62.1,Alcoholic polyneuropathy,Broad,Other,Wholly attributable,Male,75+,40
2013/14,G72.1,Alcoholic myopathy,Broad,Other,Wholly attributable,Male,75+,0
2013/14,I42.6,Alcoholic cardiomyopathy,Broad,Other,Wholly attributable,Male,75+,70
2013/14,K29.2,Alcoholic gastritis,Broad,Other,Wholly attributable,Male,75+,20
2013/14,K85.2,Alcohol-induced acute pancreatitis,Broad,Other,Wholly attributable,Male,75+,50
2013/14,K86.0,Alcohol-induced chronic pancreatitis,Broad,Other,Wholly attributable,Male,75+,50
2013/14,Q86.0,Fetal alcohol syndrome (dysmorphic),Broad,Other,Wholly attributable,Male,75+,-
2013/14,R78.0,Excess alcohol blood levels,Broad,Other,Wholly attributable,Male,75+,20
2013/14,X45,Accidental poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,Male,75+,0
2013/14,X65,Intentional self-poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,Male,75+,0
